HYPERLIQUID SPOT ASSETS
================================================================================
Name            | Index  | Asset ID     | Decimals
SLAY            | 237    | 10237        | 6       
B               | 238    | 10238        | 8       
USDXL           | 239    | 10239        | 7       
USH             | 240    | 10240        | 8       
FEUSD           | 241    | 10241        | 8       
COOK            | 242    | 10242        | 8       
OKI             | 243    | 10243        | 8       
BORG            | 244    | 10244        | 8       
SIGN            | 245    | 10245        | 8       
WMNT            | 246    | 10246        | 8       
KITTEN          | 247    | 10247        | 8       
USR             | 248    | 10248        | 8       
LEND            | 249    | 10249        | 8       
CATH            | 250    | 10250        | 8       
QUANT           | 251    | 10251        | 8       
ONLYUP          | 252    | 10252        | 5       
RAT             | 253    | 10253        | 8       
USOL            | 254    | 10254        | 8       
PURRO           | 255    | 10255        | 8       
KITTY           | 256    | 10256        | 8       
TREND           | 257    | 10257        | 7       
COIN            | 258    | 10258        | 8       
STORM           | 259    | 10259        | 5       
RISK            | 260    | 10260        | 8       
PLAY            | 261    | 10261        | 8       
NET             | 262    | 10262        | 8       
LOOP            | 263    | 10263        | 8       
LTHREE          | 264    | 10264        | 8       
WELL            | 265    | 10265        | 8       
WAVE            | 266    | 10266        | 5       
ZAP             | 267    | 10267        | 8       
USDT0           | 268    | 10268        | 8       
UFART           | 269    | 10269        | 6       
BAPE            | 270    | 10270        | 8       
DIABLO          | 271    | 10271        | 8       
PENIS           | 272    | 10272        | 8       
LBS             | 273    | 10273        | 8       
EBISU           | 274    | 10274        | 8       
DEFI            | 275    | 10275        | 8       
END             | 276    | 10276        | 8       
RUB             | 277    | 10277        | 10      
ASF             | 278    | 10278        | 8       
BEAT            | 279    | 10279        | 8       
VAL             | 280    | 10280        | 8       
TRADE           | 281    | 10281        | 8       
URBIT           | 282    | 10282        | 5       
TREE            | 283    | 10283        | 8       
FI              | 284    | 10284        | 8       
STAKE           | 285    | 10285        | 8       
NQ              | 286    | 10286        | 8       
BLND            | 287    | 10287        | 8       
WAR             | 288    | 10288        | 8       
PERP            | 289    | 10289        | 8       
DNDX            | 290    | 10290        | 8       
USDHL           | 291    | 10291        | 7       
HPENGU          | 292    | 10292        | 8       
PAIR            | 293    | 10293        | 7       
HOLY            | 294    | 10294        | 7       
SING            | 295    | 10295        | 8       
JOFF            | 296    | 10296        | 8       
XAUT0           | 297    | 10297        | 8       
HY              | 298    | 10298        | 8       
UPUMP           | 299    | 10299        | 6       
XP              | 300    | 10300        | 8       
HWAVE           | 301    | 10301        | 8       
WHLP            | 302    | 10302        | 8       
USDY            | 303    | 10303        | 8       
STLOOP          | 304    | 10304        | 8       
HWHLP           | 305    | 10305        | 8       
SSR             | 306    | 10306        | 6       
LICKO           | 307    | 10307        | 8       
THLP            | 308    | 10308        | 5       
DUSD            | 309    | 10309        | 8       
HWHYPE          | 310    | 10310        | 8       
MONEY           | 311    | 10311        | 7       
USPYX           | 312    | 10312        | 8       
WQWQ            | 313    | 10313        | 8       
BLUAI           | 314    | 10314        | 8       
FITTED          | 315    | 10315        | 8       
EX              | 316    | 10316        | 6       
HREKT           | 317    | 10317        | 5       
WOULD           | 318    | 10318        | 6       
UUUSPX          | 319    | 10319        | 8       
UBONK           | 320    | 10320        | 5       
VOL             | 321    | 10321        | 8       
WILD            | 322    | 10322        | 8       
THBILL          | 323    | 10323        | 8       
BERRIE          | 324    | 10324        | 8       
VSN             | 325    | 10325        | 8       
UMOG            | 326    | 10326        | 6       
BALT            | 327    | 10327        | 8       
TOSHI           | 328    | 10328        | 8       
HUSDE           | 329    | 10329        | 8       
BAYC            | 330    | 10330        | 8       
YUMA            | 331    | 10331        | 6       
DBLN            | 332    | 10332        | 8       
RYSK            | 333    | 10333        | 8       
AURA            | 334    | 10334        | 6       
KEI             | 335    | 10335        | 8       
BULL            | 336    | 10336        | 6       
DEXARI          | 337    | 10337        | 8       
UENA            | 338    | 10338        | 6       
BASED           | 339    | 10339        | 6       
REX             | 340    | 10340        | 8       
LINK0           | 341    | 10341        | 8       
PKMN            | 342    | 10342        | 10      
UXPL            | 343    | 10343        | 6       
TRX0            | 344    | 10344        | 8       
STRD            | 345    | 10345        | 8       
AAVE0           | 346    | 10346        | 8       
AVAX0           | 347    | 10347        | 8       
RZR             | 348    | 10348        | 7       
PEPE0           | 349    | 10349        | 8       
SDEX            | 350    | 10350        | 8       
FLR             | 351    | 10351        | 8       
USDG            | 352    | 10352        | 8       
OG              | 353    | 10353        | 8       
RED             | 354    | 10354        | 8       
CASH            | 355    | 10355        | 8       
PUP             | 356    | 10356        | 8       
IXRP            | 357    | 10357        | 7       
UWLD            | 358    | 10358        | 6       
NATIVE          | 359    | 10359        | 8       
USDH            | 360    | 10360        | 8       
